,date1,date2,date_diff,ncc
67,2017-05-01 22:16:01.026,2021-02-19 22:16:01.024,1389,0.40955589247644497
68,2017-05-01 22:16:01.026,2021-03-16 22:16:09.024,1415,0.5677613931823582
69,2017-05-01 22:16:01.026,2021-07-24 22:16:09.024,1545,0.46073058564314046
70,2017-05-01 22:16:01.026,2021-08-23 22:15:59.024,1574,0.6670322715941901
71,2017-05-01 22:16:01.026,2021-09-02 22:15:59.024,1584,0.6549342601733293
73,2017-05-21 22:16:01.026,2018-10-18 22:15:59.024,514,0.3770735697963269
74,2017-05-21 22:16:01.026,2019-02-25 22:15:59.024,644,0.31252802601212554
75,2017-05-21 22:16:01.026,2019-03-02 22:16:01.024,649,0.3551567523596883
76,2017-05-21 22:16:01.026,2019-10-03 22:15:59.024,864,0.3222125336555589
77,2017-05-21 22:16:01.026,2019-11-02 22:16:09.024,895,0.3324898340327449
78,2017-05-21 22:16:01.026,2020-01-11 22:15:59.024,964,0.2891131470205635
79,2017-05-21 22:16:01.026,2020-02-25 22:16:01.024,1009,0.34757982469557774
80,2017-05-21 22:16:01.026,2020-03-11 22:15:59.024,1024,0.15859174778591484
81,2017-05-21 22:16:01.026,2020-04-10 22:15:59.024,1054,0.38670272563795555
82,2017-05-21 22:16:01.026,2020-04-25 22:16:11.024,1070,0.3743681339206316
83,2017-05-21 22:16:01.026,2020-05-20 22:16:09.024,1095,0.4332918015232453
84,2017-05-21 22:16:01.026,2020-07-09 22:16:09.024,1145,0.7279336711879926
85,2017-05-21 22:16:01.026,2020-08-03 22:16:11.024,1170,0.43108195735687493
86,2017-05-21 22:16:01.026,2020-09-07 22:16:09.024,1205,0.39720947601256096
87,2017-05-21 22:16:01.026,2021-01-25 22:16:09.024,1345,0.14311205768937868
88,2017-05-21 22:16:01.026,2021-01-30 22:16:01.024,1349,0.30708798074319515
89,2017-05-21 22:16:01.026,2021-02-19 22:16:01.024,1369,0.22438372489411149
90,2017-05-21 22:16:01.026,2021-03-16 22:16:09.024,1395,0.3566908468375722
91,2017-05-21 22:16:01.026,2021-07-24 22:16:09.024,1525,0.4652893853038944
92,2017-05-21 22:16:01.026,2021-08-23 22:15:59.024,1554,0.480329041111516
93,2017-05-21 22:16:01.026,2021-09-02 22:15:59.024,1564,0.44521354149159564
95,2018-03-17 22:16:01.026,2019-02-25 22:15:59.024,344,0.5877941226314725
96,2018-03-17 22:16:01.026,2019-03-02 22:16:01.024,349,0.5971280423965957
97,2018-03-17 22:16:01.026,2019-10-03 22:15:59.024,564,0.34076966600942055
98,2018-03-17 22:16:01.026,2019-11-02 22:16:09.024,595,0.5788404869819369
99,2018-03-17 22:16:01.026,2020-01-11 22:15:59.024,664,0.5678013001367233
100,2018-03-17 22:16:01.026,2020-02-25 22:16:01.024,709,0.5001263341681932
101,2018-03-17 22:16:01.026,2020-03-11 22:15:59.024,724,0.31559151866360907
102,2018-03-17 22:16:01.026,2020-04-10 22:15:59.024,754,0.5879531823134228
103,2018-03-17 22:16:01.026,2020-04-25 22:16:11.024,770,0.5103567533075903
104,2018-03-17 22:16:01.026,2020-05-20 22:16:09.024,795,0.4567158553349739
105,2018-03-17 22:16:01.026,2020-07-09 22:16:09.024,845,0.272014975790139
106,2018-03-17 22:16:01.026,2020-08-03 22:16:11.024,870,0.402229784891828
107,2018-03-17 22:16:01.026,2020-09-07 22:16:09.024,905,0.5743239118258581
108,2018-03-17 22:16:01.026,2021-01-25 22:16:09.024,1045,0.2943093282496438
109,2018-03-17 22:16:01.026,2021-01-30 22:16:01.024,1049,0.5717911345371479
110,2018-03-17 22:16:01.026,2021-02-19 22:16:01.024,1069,0.4332669122763679
111,2018-03-17 22:16:01.026,2021-03-16 22:16:09.024,1095,0.6098526841643418
112,2018-03-17 22:16:01.026,2021-07-24 22:16:09.024,1225,0.4176437381647125
113,2018-03-17 22:16:01.026,2021-08-23 22:15:59.024,1254,0.49016297266690784
114,2018-03-17 22:16:01.026,2021-09-02 22:15:59.024,1264,0.553825573935393
117,2018-10-18 22:15:59.024,2019-10-03 22:15:59.024,350,0.5734279847834706
118,2018-10-18 22:15:59.024,2019-11-02 22:16:09.024,380,0.9511655249757194
119,2018-10-18 22:15:59.024,2020-01-11 22:15:59.024,450,0.9032220639186875
120,2018-10-18 22:15:59.024,2020-02-25 22:16:01.024,495,0.7558735137543566
121,2018-10-18 22:15:59.024,2020-03-11 22:15:59.024,510,0.5254851715300191
122,2018-10-18 22:15:59.024,2020-04-10 22:15:59.024,540,0.8533474393347389
123,2018-10-18 22:15:59.024,2020-04-25 22:16:11.024,555,0.7351659174580775
124,2018-10-18 22:15:59.024,2020-05-20 22:16:09.024,580,0.6831064098949219
125,2018-10-18 22:15:59.024,2020-07-09 22:16:09.024,630,0.251455047551554
126,2018-10-18 22:15:59.024,2020-08-03 22:16:11.024,655,0.6324632089435365
127,2018-10-18 22:15:59.024,2020-09-07 22:16:09.024,690,0.9060806682266742
128,2018-10-18 22:15:59.024,2021-01-25 22:16:09.024,830,0.49336364359124496
129,2018-10-18 22:15:59.024,2021-01-30 22:16:01.024,835,0.9096884443963383
130,2018-10-18 22:15:59.024,2021-02-19 22:16:01.024,855,0.6772972942792378
131,2018-10-18 22:15:59.024,2021-03-16 22:16:09.024,880,0.8958026272068457
132,2018-10-18 22:15:59.024,2021-07-24 22:16:09.024,1010,0.62877650510695
133,2018-10-18 22:15:59.024,2021-08-23 22:15:59.024,1040,0.7807774075854531
134,2018-10-18 22:15:59.024,2021-09-02 22:15:59.024,1050,0.8788688314938934
139,2019-02-25 22:15:59.024,2020-02-25 22:16:01.024,365,0.7757106430824473
140,2019-02-25 22:15:59.024,2020-03-11 22:15:59.024,380,0.5092380142996227
141,2019-02-25 22:15:59.024,2020-04-10 22:15:59.024,410,0.879729205329003
142,2019-02-25 22:15:59.024,2020-04-25 22:16:11.024,425,0.752459518632746
143,2019-02-25 22:15:59.024,2020-05-20 22:16:09.024,450,0.6514009200731242
144,2019-02-25 22:15:59.024,2020-07-09 22:16:09.024,500,0.20831803274252383
145,2019-02-25 22:15:59.024,2020-08-03 22:16:11.024,525,0.5824372915046787
146,2019-02-25 22:15:59.024,2020-09-07 22:16:09.024,560,0.865164645817553
147,2019-02-25 22:15:59.024,2021-01-25 22:16:09.024,700,0.5016112286385931
