date1,date2,date_diff,ncc
2017-05-01 22:16:01.026,2021-08-23 22:15:59.024,1574,0.3022483866063091
2017-05-01 22:16:01.026,2021-09-02 22:15:59.024,1584,0.19038259620860196
2017-05-21 22:16:01.026,2018-10-18 22:15:59.024,514,0.17209554643901379
2017-05-21 22:16:01.026,2019-02-25 22:15:59.024,644,0.3325711789957657
2017-05-21 22:16:01.026,2019-03-02 22:16:01.024,649,0.3619763697197347
2017-05-21 22:16:01.026,2019-10-03 22:15:59.024,864,0.16374353440065875
2017-05-21 22:16:01.026,2019-11-02 22:16:09.024,895,0.07999141929827569
2017-05-21 22:16:01.026,2020-01-11 22:15:59.024,964,0.3248524238739589
2017-05-21 22:16:01.026,2020-02-25 22:16:01.024,1009,0.2437226254552177
2017-05-21 22:16:01.026,2020-03-11 22:15:59.024,1024,0.2744092122494794
2017-05-21 22:16:01.026,2020-04-10 22:15:59.024,1054,0.23100269561653963
2017-05-21 22:16:01.026,2020-04-25 22:16:11.024,1070,0.18278258626111654
2017-05-21 22:16:01.026,2020-05-20 22:16:09.024,1095,0.554934636641315
2017-05-21 22:16:01.026,2020-07-09 22:16:09.024,1145,0.5854237107451433
2017-05-21 22:16:01.026,2020-08-03 22:16:11.024,1170,0.44428730463967603
2017-05-21 22:16:01.026,2020-09-07 22:16:09.024,1205,0.12557381541003082
2017-05-21 22:16:01.026,2021-01-25 22:16:09.024,1345,0.26117786750139194
2017-05-21 22:16:01.026,2021-01-30 22:16:01.024,1349,0.24700276531732698
2017-05-21 22:16:01.026,2021-02-19 22:16:01.024,1369,0.19467836094144125
2017-05-21 22:16:01.026,2021-03-16 22:16:09.024,1395,0.16176933667296747
2017-05-21 22:16:01.026,2021-07-24 22:16:09.024,1525,0.5717928664118134
2017-05-21 22:16:01.026,2021-08-23 22:15:59.024,1554,0.18120017540006397
2017-05-21 22:16:01.026,2021-09-02 22:15:59.024,1564,0.14781016874144778
2018-03-17 22:16:01.026,2019-02-25 22:15:59.024,344,0.2711243681271532
2018-03-17 22:16:01.026,2019-03-02 22:16:01.024,349,0.25601596527280174
2018-03-17 22:16:01.026,2019-10-03 22:15:59.024,564,0.17729740196381566
2018-03-17 22:16:01.026,2019-11-02 22:16:09.024,595,0.11491522871467028
2018-03-17 22:16:01.026,2020-01-11 22:15:59.024,664,0.24068671327515534
2018-03-17 22:16:01.026,2020-02-25 22:16:01.024,709,0.1703197110409365
2018-03-17 22:16:01.026,2020-03-11 22:15:59.024,724,0.24744161464651712
2018-03-17 22:16:01.026,2020-04-10 22:15:59.024,754,0.20501956526447834
2018-03-17 22:16:01.026,2020-04-25 22:16:11.024,770,0.12324577770464273
2018-03-17 22:16:01.026,2020-05-20 22:16:09.024,795,0.15907207584022892
2018-03-17 22:16:01.026,2020-07-09 22:16:09.024,845,0.13230005412613935
2018-03-17 22:16:01.026,2020-08-03 22:16:11.024,870,0.15157901187266387
2018-03-17 22:16:01.026,2020-09-07 22:16:09.024,905,0.21657351560802088
2018-03-17 22:16:01.026,2021-01-25 22:16:09.024,1045,0.23214635077051618
2018-03-17 22:16:01.026,2021-01-30 22:16:01.024,1049,0.24165504026449594
2018-03-17 22:16:01.026,2021-02-19 22:16:01.024,1069,0.26279559037680106
2018-03-17 22:16:01.026,2021-03-16 22:16:09.024,1095,0.30314358972868394
2018-03-17 22:16:01.026,2021-07-24 22:16:09.024,1225,0.13573962232679007
2018-03-17 22:16:01.026,2021-08-23 22:15:59.024,1254,0.1320638977378095
2018-03-17 22:16:01.026,2021-09-02 22:15:59.024,1264,0.20344459899663653
2018-10-18 22:15:59.024,2019-10-03 22:15:59.024,350,0.4828496539067195
2018-10-18 22:15:59.024,2019-11-02 22:16:09.024,380,0.5899063554031596
2018-10-18 22:15:59.024,2020-01-11 22:15:59.024,450,0.44734731327553634
2018-10-18 22:15:59.024,2020-02-25 22:16:01.024,495,0.23680127321752945
